Type,Proposed IATIPlus Fields,Labels,Properties
Organization,,,
,IatiOrganisations,IatiOrganisations,
,IatiOrganisations_Version,,IatiOrganisations_Version
,IatiOrganisations_GeneratedDatetime,,IatiOrganisations_GeneratedDatetime
,IatiOrganisation,IatiOrganisation,
,IatiOrganisation_LastUpdatedDatetime,,IatiOrganisation_LastUpdatedDatetime
,IatiOrganisation_Lang,,IatiOrganisation_Lang
,IatiOrganisation_DefaultCurrency,,IatiOrganisation_DefaultCurrency
,OrganisationIdentifier,OrganisationIdentifier,
,Name,Name,
,NameNarrative,NameNarrative,
,NameNarrative_Text,,NameNarrative_Text
,NameNarrative_Lang,,NameNarrative_Lang
,ReportingOrg,ReportingOrg,
,ReportingOrg_Ref,,ReportingOrg_Ref
,ReportingOrg_Type,,ReportingOrg_Type
,ReportingOrg_SecondaryReporter,,ReportingOrg_SecondaryReporter
,ReportingOrgNarrative,ReportingOrgNarrative,
,ReportingOrgNarrative_Text,,ReportingOrgNarrative_Text
,ReportingOrgNarrative_Lang,,ReportingOrgNarrative_Lang
,TotalBudget,TotalBudget,
,TotalBudget_Status,,TotalBudget_Status
,TotalBudgetPeriodStart,TotalBudgetPeriodStart,
,TotalBudgetPeriodStart_IsoDate,,TotalBudgetPeriodStart_IsoDate
,TotalBudgetPeriodEnd,TotalBudgetPeriodEnd,
,TotalBudgetPeriodEnd_IsoDate,,TotalBudgetPeriodEnd_IsoDate
,TotalBudgetValue,TotalBudgetValue,
,TotalBudgetValue_Currency,,TotalBudgetValue_Currency
,TotalBudgetValue_ValueDate,,TotalBudgetValue_ValueDate
,TotalBudgetValue_Text,,TotalBudgetValue_Text
,TotalBudgetBudgetLine,TotalBudgetBudgetLine,
,TotalBudgetBudgetLine_Ref,,TotalBudgetBudgetLine_Ref
,TotalBudgetBudgetLineValue,TotalBudgetBudgetLineValue,
,TotalBudgetBudgetLineValue_Currency,,TotalBudgetBudgetLineValue_Currency
,TotalBudgetBudgetLineValue_ValueDate,,TotalBudgetBudgetLineValue_ValueDate
,TotalBudgetBudgetLineValue_Text,,TotalBudgetBudgetLineValue_Text
,TotalBudgetBudgetLineNarrative,TotalBudgetBudgetLineNarrative,
,TotalBudgetBudgetLineNarrative_Text,,TotalBudgetBudgetLineNarrative_Text
,TotalBudgetBudgetLineNarrative_Lang,,TotalBudgetBudgetLineNarrative_Lang
,RecipientOrgBudget,RecipientOrgBudget,
,RecipientOrgBudget_Status,,RecipientOrgBudget_Status
,RecipientOrgBudgetRecipientOrg,RecipientOrgBudgetRecipientOrg,
,RecipientOrgBudgetRecipientOrg_Ref,,RecipientOrgBudgetRecipientOrg_Ref
,RecipientOrgBudgetRecipientOrgNarrative,RecipientOrgBudgetRecipientOrgNarrative,
,RecipientOrgBudgetRecipientOrgNarrative_Text,,RecipientOrgBudgetRecipientOrgNarrative_Text
,RecipientOrgBudgetRecipientOrgNarrative_Lang,,RecipientOrgBudgetRecipientOrgNarrative_Lang
,RecipientOrgBudgetPeriodStart,RecipientOrgBudgetPeriodStart,
,RecipientOrgBudgetPeriodStart_IsoDate,,RecipientOrgBudgetPeriodStart_IsoDate
,RecipientOrgBudgetPeriodEnd,RecipientOrgBudgetPeriodEnd,
,RecipientOrgBudgetPeriodEnd_IsoDate,,RecipientOrgBudgetPeriodEnd_IsoDate
,RecipientOrgBudgetValue,RecipientOrgBudgetValue,
,RecipientOrgBudgetValue_Currency,,RecipientOrgBudgetValue_Currency
,RecipientOrgBudgetValue_ValueDate,,RecipientOrgBudgetValue_ValueDate
,RecipientOrgBudgetValue_Text,,RecipientOrgBudgetValue_Text
,RecipientOrgBudgetBudgetLine,RecipientOrgBudgetBudgetLine,
,RecipientOrgBudgetBudgetLine_Ref,,RecipientOrgBudgetBudgetLine_Ref
,RecipientOrgBudgetBudgetLineValue,RecipientOrgBudgetBudgetLineValue,
,RecipientOrgBudgetBudgetLineValue_Currency,,RecipientOrgBudgetBudgetLineValue_Currency
,RecipientOrgBudgetBudgetLineValue_ValueDate,,RecipientOrgBudgetBudgetLineValue_ValueDate
,RecipientOrgBudgetBudgetLineValue_Text,,RecipientOrgBudgetBudgetLineValue_Text
,RecipientOrgBudgetBudgetLineNarrative,RecipientOrgBudgetBudgetLineNarrative,
,RecipientOrgBudgetBudgetLineNarrative_Text,,RecipientOrgBudgetBudgetLineNarrative_Text
,RecipientOrgBudgetBudgetLineNarrative_Lang,,RecipientOrgBudgetBudgetLineNarrative_Lang
,RecipientRegionBudget,RecipientRegionBudget,
,RecipientRegionBudget_Status,,RecipientRegionBudget_Status
,RecipientRegionBudgetRecipientRegion,RecipientRegionBudgetRecipientRegion,
,RecipientRegionBudgetRecipientRegion_Vocabulary,,RecipientRegionBudgetRecipientRegion_Vocabulary
,RecipientRegionBudgetRecipientRegion_VocabularyUri,,RecipientRegionBudgetRecipientRegion_VocabularyUri
,RecipientRegionBudgetRecipientRegion_Code,,RecipientRegionBudgetRecipientRegion_Code
,RecipientRegionBudgetRecipientRegionNarrative,RecipientRegionBudgetRecipientRegionNarrative,
,RecipientRegionBudgetRecipientRegionNarrative_Text,,RecipientRegionBudgetRecipientRegionNarrative_Text
,RecipientRegionBudgetRecipientRegionNarrative_Lang,,RecipientRegionBudgetRecipientRegionNarrative_Lang
,RecipientRegionBudgetPeriodStart,RecipientRegionBudgetPeriodStart,
,RecipientRegionBudgetPeriodStart_IsoDate,,RecipientRegionBudgetPeriodStart_IsoDate
,RecipientRegionBudgetPeriodEnd,RecipientRegionBudgetPeriodEnd,
,RecipientRegionBudgetPeriodEnd_IsoDate,,RecipientRegionBudgetPeriodEnd_IsoDate
,RecipientRegionBudgetValue,RecipientRegionBudgetValue,
,RecipientRegionBudgetValue_Currency,,RecipientRegionBudgetValue_Currency
,RecipientRegionBudgetValue_ValueDate,,RecipientRegionBudgetValue_ValueDate
,RecipientRegionBudgetValue_Text,,RecipientRegionBudgetValue_Text
,RecipientRegionBudgetBudgetLine,RecipientRegionBudgetBudgetLine,
,RecipientRegionBudgetBudgetLine_Ref,,RecipientRegionBudgetBudgetLine_Ref
,RecipientRegionBudgetBudgetLineValue,RecipientRegionBudgetBudgetLineValue,
,RecipientRegionBudgetBudgetLineValue_Currency,,RecipientRegionBudgetBudgetLineValue_Currency
,RecipientRegionBudgetBudgetLineValue_ValueDate,,RecipientRegionBudgetBudgetLineValue_ValueDate
,RecipientRegionBudgetBudgetLineValue_Text,,RecipientRegionBudgetBudgetLineValue_Text
,RecipientRegionBudgetBudgetLineNarrative,RecipientRegionBudgetBudgetLineNarrative,
,RecipientRegionBudgetBudgetLineNarrative_Text,,RecipientRegionBudgetBudgetLineNarrative_Text
,RecipientRegionBudgetBudgetLineNarrative_Lang,,RecipientRegionBudgetBudgetLineNarrative_Lang
,RecipientCountryBudget,RecipientCountryBudget,
,RecipientCountryBudget_Status,,RecipientCountryBudget_Status
,RecipientCountryBudgetRecipientCountry,RecipientCountryBudgetRecipientCountry,
,RecipientCountryBudgetRecipientCountry_Code,,RecipientCountryBudgetRecipientCountry_Code
,RecipientCountryBudgetRecipientCountryNarrative,RecipientCountryBudgetRecipientCountryNarrative,RecipientCountryBudgetRecipientCountryNarrative
,RecipientCountryBudgetRecipientCountryNarrative_Text,,RecipientCountryBudgetRecipientCountryNarrative_Text
,RecipientCountryBudgetRecipientCountryNarrative_Lang,,RecipientCountryBudgetRecipientCountryNarrative_Lang
,RecipientCountryBudgetPeriodStart,RecipientCountryBudgetPeriodStart,
,RecipientCountryBudgetPeriodStart_IsoDate,,RecipientCountryBudgetPeriodStart_IsoDate
,RecipientCountryBudgetPeriodEnd,RecipientCountryBudgetPeriodEnd,
,RecipientCountryBudgetPeriodEnd_IsoDate,,RecipientCountryBudgetPeriodEnd_IsoDate
,RecipientCountryBudgetValue,RecipientCountryBudgetValue,
,RecipientCountryBudgetValue_Currency,,RecipientCountryBudgetValue_Currency
,RecipientCountryBudgetValue_ValueDate,,RecipientCountryBudgetValue_ValueDate
,RecipientCountryBudgetValue_Text,,RecipientCountryBudgetValue_Text
,RecipientCountryBudgetBudgetLine,RecipientCountryBudgetBudgetLine,
,RecipientCountryBudgetBudgetLine_Ref,,RecipientCountryBudgetBudgetLine_Ref
,RecipientCountryBudgetBudgetLineValue,RecipientCountryBudgetBudgetLineValue,
,RecipientCountryBudgetBudgetLineValue_Currency,,RecipientCountryBudgetBudgetLineValue_Currency
,RecipientCountryBudgetBudgetLineValue_ValueDate,,RecipientCountryBudgetBudgetLineValue_ValueDate
,RecipientCountryBudgetBudgetLineValue_Text,,RecipientCountryBudgetBudgetLineValue_Text
,RecipientCountryBudgetBudgetLineNarrative,RecipientCountryBudgetBudgetLineNarrative,
,RecipientCountryBudgetBudgetLineNarrative_Text,,RecipientCountryBudgetBudgetLineNarrative_Text
,RecipientCountryBudgetBudgetLineNarrative_Lang,,RecipientCountryBudgetBudgetLineNarrative_Lang
,TotalExpenditure,TotalExpenditure,
,TotalExpenditurePeriodStart,TotalExpenditurePeriodStart,
,TotalExpenditurePeriodStart_IsoDate,,TotalExpenditurePeriodStart_IsoDate
,TotalExpenditurePeriodEnd,TotalExpenditurePeriodEnd,
,TotalExpenditurePeriodEnd_IsoDate,,TotalExpenditurePeriodEnd_IsoDate
,TotalExpenditureValue,TotalExpenditureValue,
,TotalExpenditureValue_Currency,,TotalExpenditureValue_Currency
,TotalExpenditureValue_ValueDate,,TotalExpenditureValue_ValueDate
,TotalExpenditureValue_Text,,TotalExpenditureValue_Text
,TotalExpenditureExpenseLine,TotalExpenditureExpenseLine,
,TotalExpenditureExpenseLine_Ref,,TotalExpenditureExpenseLine_Ref
,TotalExpenditureExpenseLineValue,TotalExpenditureExpenseLineValue,
,TotalExpenditureExpenseLineValue_Currency,,TotalExpenditureExpenseLineValue_Currency
,TotalExpenditureExpenseLineValue_ValueDate,,TotalExpenditureExpenseLineValue_ValueDate
,TotalExpenditureExpenseLineValue_Text,,TotalExpenditureExpenseLineValue_Text
,TotalExpenditureExpenseLineNarrative,TotalExpenditureExpenseLineNarrative,
,TotalExpenditureExpenseLineNarrative_Text,,TotalExpenditureExpenseLineNarrative_Text
,TotalExpenditureExpenseLineNarrative_Lang,,TotalExpenditureExpenseLineNarrative_Lang
,DocumentLink,DocumentLink,
,DocumentLink_Url,,DocumentLink_Url
,DocumentLink_Format,,DocumentLink_Format
,DocumentLinkTitle,DocumentLinkTitle,
,DocumentLinkTitleNarrative,DocumentLinkTitleNarrative,
,DocumentLinkTitleNarrative_Text,,DocumentLinkTitleNarrative_Text
,DocumentLinkTitleNarrative_Lang,,DocumentLinkTitleNarrative_Lang
,DocumentLinkDescription,DocumentLinkDescription,
,DocumentLinkDescriptionNarrative,DocumentLinkDescriptionNarrative,
,DocumentLinkDescriptionNarrative_Text,,DocumentLinkDescriptionNarrative_Text
,DocumentLinkDescriptionNarrative_Lang,,DocumentLinkDescriptionNarrative_Lang
,DocumentLinkCategory,DocumentLinkCategory,
,DocumentLinkCategory_Code,,DocumentLinkCategory_Code
,DocumentLinkLanguage,DocumentLinkLanguage,
,DocumentLinkLanguage_Code,,DocumentLinkLanguage_Code
,DocumentLinkDocumentDate,DocumentLinkDocumentDate,
,DocumentLinkDocumentDate_IsoDate,,DocumentLinkDocumentDate_IsoDate
,DocumentLinkRecipientCountry,DocumentLinkRecipientCountry,
,DocumentLinkRecipientCountry_Code,,DocumentLinkRecipientCountry_Code
,DocumentLinkRecipientCountryNarrative,DocumentLinkRecipientCountryNarrative,
,DocumentLinkRecipientCountryNarrative_Text,,DocumentLinkRecipientCountryNarrative_Text
,DocumentLinkRecipientCountryNarrative_Lang,,DocumentLinkRecipientCountryNarrative_Lang
Activity,,,
,IatiActivities,IatiActivities,
,IatiActivities_Version,,IatiActivities_Version
,IatiActivities_GeneratedDatetime,,IatiActivities_GeneratedDatetime
,IatiActivities_LinkedDataDefault,,IatiActivities_LinkedDataDefault
,IatiActivity,IatiActivity,
,IatiActivity_LastUpdatedDatetime,,IatiActivity_LastUpdatedDatetime
,IatiActivity_Lang,,IatiActivity_Lang
,IatiActivity_DefaultCurrency,,IatiActivity_DefaultCurrency
,IatiActivity_Humanitarian,,IatiActivity_Humanitarian
,IatiActivity_Hierarchy,,IatiActivity_Hierarchy
,IatiActivity_LinkedDataUri,,IatiActivity_LinkedDataUri
,IatiActivity_BudgetNotProvided,,IatiActivity_BudgetNotProvided
,IatiIdentifier,IatiIdentifier,
,IatiIdentifier_Text,,IatiIdentifier_Text
,ReportingOrg,ReportingOrg,
,ReportingOrg_Ref,,ReportingOrg_Ref
,ReportingOrg_Type,,ReportingOrg_Type
,ReportingOrg_SecondaryReporter,,ReportingOrg_SecondaryReporter
,ReportingOrgNarrative,ReportingOrgNarrative,
,ReportingOrgNarrative_Text,,ReportingOrgNarrative_Text
,ReportingOrgNarrative_Lang,,ReportingOrgNarrative_Lang
,Title,Title,
,TitleNarrative,TitleNarrative,
,TitleNarrative_Text,,TitleNarrative_Text
,TitleNarrative_Lang,,TitleNarrative_Lang
,Description,Description,
,Description_Type,,Description_Type
,DescriptionNarrative,DescriptionNarrative,
,DescriptionNarrative_Text,,DescriptionNarrative_Text
,DescriptionNarrative_Lang,,DescriptionNarrative_Lang
,ParticipatingOrg,ParticipatingOrg,
,ParticipatingOrg_Ref,,ParticipatingOrg_Ref
,ParticipatingOrg_Type,,ParticipatingOrg_Type
,ParticipatingOrg_Role,,ParticipatingOrg_Role
,ParticipatingOrg_ActivityId,,ParticipatingOrg_ActivityId
,ParticipatingOrg_CrsChannelCode,,ParticipatingOrg_CrsChannelCode
,ParticipatingOrgNarrative,ParticipatingOrgNarrative,
,ParticipatingOrgNarrative_Text,,ParticipatingOrgNarrative_Text
,ParticipatingOrgNarrative_Lang,,ParticipatingOrgNarrative_Lang
,OtherIdentifier,OtherIdentifier,
,OtherIdentifier_Ref,,OtherIdentifier_Ref
,OtherIdentifier_Type,,OtherIdentifier_Type
,OtherIdentifierOwnerOrg,OtherIdentifierOwnerOrg,
,OtherIdentifierOwnerOrg_Ref,,OtherIdentifierOwnerOrg_Ref
,OtherIdentifierOwnerOrgNarrative,OtherIdentifierOwnerOrgNarrative,
,OtherIdentifierOwnerOrgNarrative_Text,,OtherIdentifierOwnerOrgNarrative_Text
,OtherIdentifierOwnerOrgNarrative_Lang,,OtherIdentifierOwnerOrgNarrative_Lang
,ActivityStatus,ActivityStatus,
,ActivityStatus_Code,,ActivityStatus_Code
,ActivityDate,ActivityDate,
,ActivityDate_Type,,ActivityDate_Type
,ActivityDate_IsoDate,,ActivityDate_IsoDate
,ActivityDateNarrative,ActivityDateNarrative,
,ActivityDateNarrative_Text,,ActivityDateNarrative_Text
,ActivityDateNarrative_Lang,,ActivityDateNarrative_Lang
,ContactInfo,ContactInfo,
,ContactInfo_Type,,ContactInfo_Type
,ContactInfoOrganisation,ContactInfoOrganisation,
,ContactInfoOrganisationNarrative,ContactInfoOrganisationNarrative,
,ContactInfoOrganisationNarrative_Text,,ContactInfoOrganisationNarrative_Text
,ContactInfoOrganisationNarrative_Lang,,ContactInfoOrganisationNarrative_Lang
,ContactInfoDepartment,ContactInfoDepartment,
,ContactInfoDepartmentNarrative,ContactInfoDepartmentNarrative,
,ContactInfoDepartmentNarrative_Text,,ContactInfoDepartmentNarrative_Text
,ContactInfoDepartmentNarrative_Lang,,ContactInfoDepartmentNarrative_Lang
,ContactInfoPersonName,ContactInfoPersonName,
,ContactInfoPersonNameNarrative,ContactInfoPersonNameNarrative,
,ContactInfoPersonNameNarrative_Text,,ContactInfoPersonNameNarrative_Text
,ContactInfoPersonNameNarrative_Lang,,ContactInfoPersonNameNarrative_Lang
,ContactInfoJobTitle,ContactInfoJobTitle,
,ContactInfoJobTitleNarrative,ContactInfoJobTitleNarrative,
,ContactInfoJobTitleNarrative_Text,,ContactInfoJobTitleNarrative_Text
,ContactInfoJobTitleNarrative_Lang,,ContactInfoJobTitleNarrative_Lang
,ContactInfoTelephone,ContactInfoTelephone,
,ContactInfoTelephone_Text,,ContactInfoTelephone_Text
,ContactInfoEmail,ContactInfoEmail,
,ContactInfoEmail_Text,,ContactInfoEmail_Text
,ContactInfoWebsite,ContactInfoWebsite,
,ContactInfoWebsite_Text,,ContactInfoWebsite_Text
,ContactInfoMailingAddress,ContactInfoMailingAddress,
,ContactInfoMailingAddressNarrative,ContactInfoMailingAddressNarrative,
,ContactInfoMailingAddressNarrative_Text,,ContactInfoMailingAddressNarrative_Text
,ContactInfoMailingAddressNarrative_Lang,,ContactInfoMailingAddressNarrative_Lang
,ActivityScope,ActivityScope,
,ActivityScope_Code,,ActivityScope_Code
,RecipientCountry,RecipientCountry,
,RecipientCountry_Code,,RecipientCountry_Code
,RecipientCountry_Percentage,,RecipientCountry_Percentage
,RecipientCountryNarrative,RecipientCountryNarrative,
,RecipientCountryNarrative_Text,,RecipientCountryNarrative_Text
,RecipientCountryNarrative_Lang,,RecipientCountryNarrative_Lang
,RecipientRegion,RecipientRegion,
,RecipientRegion_Code,,RecipientRegion_Code
,RecipientRegion_Vocabulary,,RecipientRegion_Vocabulary
,RecipientRegion_VocabularyUri,,RecipientRegion_VocabularyUri
,RecipientRegion_Percentage,,RecipientRegion_Percentage
,RecipientRegionNarrative,RecipientRegionNarrative,
,RecipientRegionNarrative_Text,,RecipientRegionNarrative_Text
,RecipientRegionNarrative_Lang,,RecipientRegionNarrative_Lang
,Location,Location,
,Location_Ref,,Location_Ref
,LocationLocationReach,LocationLocationReach,
,LocationLocationReach_Code,,LocationLocationReach_Code
,LocationLocationId,LocationLocationId,
,LocationLocationId_Code,,LocationLocationId_Code
,LocationLocationId_Vocabulary,,LocationLocationId_Vocabulary
,LocationName,LocationName,
,LocationNameNarrative,LocationNameNarrative,
,LocationNameNarrative_Text,,LocationNameNarrative_Text
,LocationNameNarrative_Lang,,LocationNameNarrative_Lang
,LocationDescription,LocationDescription,
,LocationDescriptionNarrative,LocationDescriptionNarrative,
,LocationDescriptionNarrative_Text,,LocationDescriptionNarrative_Text
,LocationDescriptionNarrative_Lang,,LocationDescriptionNarrative_Lang
,LocationActivityDescription,LocationActivityDescription,
,LocationActivityDescriptionNarrative,LocationActivityDescriptionNarrative,
,LocationActivityDescriptionNarrative_Text,,LocationActivityDescriptionNarrative_Text
,LocationActivityDescriptionNarrative_Lang,,LocationActivityDescriptionNarrative_Lang
,LocationAdministrative,LocationAdministrative,
,LocationAdministrative_Code,,LocationAdministrative_Code
,LocationAdministrative_Vocabulary,,LocationAdministrative_Vocabulary
,LocationAdministrative_Level,,LocationAdministrative_Level
,LocationPoint,LocationPoint,
,LocationPoint_Srsname,,LocationPoint_Srsname
,LocationPointPos,LocationPointPos,
,LocationPointPos_Text,,LocationPointPos_Text
,LocationExactness,LocationExactness,
,LocationExactness_Code,,LocationExactness_Code
,LocationLocationClass,LocationLocationClass,
,LocationLocationClass_Code,,LocationLocationClass_Code
,LocationFeatureDesignation,LocationFeatureDesignation,
,LocationFeatureDesignation_Code,,LocationFeatureDesignation_Code
,Sector,Sector,
,Sector_Vocabulary,,Sector_Vocabulary
,Sector_VocabularyUri,,Sector_VocabularyUri
,Sector_Code,,Sector_Code
,Sector_Percentage,,Sector_Percentage
,SectorNarrative,SectorNarrative,
,SectorNarrative_Text,,SectorNarrative_Text
,SectorNarrative_Lang,,SectorNarrative_Lang
,Tag,Tag,
,Tag_Code,,Tag_Code
,Tag_Vocabulary,,Tag_Vocabulary
,Tag_VocabularyUri,,Tag_VocabularyUri
,TagNarrative,TagNarrative,
,TagNarrative_Text,,TagNarrative_Text
,TagNarrative_Lang,,TagNarrative_Lang
,CountryBudgetItems,CountryBudgetItems,
,CountryBudgetItems_Vocabulary,,CountryBudgetItems_Vocabulary
,CountryBudgetItemsBudgetItem,CountryBudgetItemsBudgetItem,
,CountryBudgetItemsBudgetItem_Code,,CountryBudgetItemsBudgetItem_Code
,CountryBudgetItemsBudgetItem_Percentage,,CountryBudgetItemsBudgetItem_Percentage
,CountryBudgetItemsBudgetItemDescription,CountryBudgetItemsBudgetItemDescription,
,CountryBudgetItemsBudgetItemDescriptionNarrative,CountryBudgetItemsBudgetItemDescriptionNarrative,
,CountryBudgetItemsBudgetItemDescriptionNarrative_Text,,CountryBudgetItemsBudgetItemDescriptionNarrative_Text
,CountryBudgetItemsBudgetItemDescriptionNarrative_Lang,,CountryBudgetItemsBudgetItemDescriptionNarrative_Lang
,HumanitarianScope,HumanitarianScope,
,HumanitarianScope_Type,,HumanitarianScope_Type
,HumanitarianScope_Vocabulary,,HumanitarianScope_Vocabulary
,HumanitarianScope_VocabularyUri,,HumanitarianScope_VocabularyUri
,HumanitarianScope_Code,,HumanitarianScope_Code
,HumanitarianScopeNarrative,HumanitarianScopeNarrative,
,HumanitarianScopeNarrative_Text,,HumanitarianScopeNarrative_Text
,HumanitarianScopeNarrative_Lang,,HumanitarianScopeNarrative_Lang
,PolicyMarker,PolicyMarker,
,PolicyMarker_Vocabulary,,PolicyMarker_Vocabulary
,PolicyMarker_VocabularyUri,,PolicyMarker_VocabularyUri
,PolicyMarker_Code,,PolicyMarker_Code
,PolicyMarker_Significance,,PolicyMarker_Significance
,PolicyMarkerNarrative,PolicyMarkerNarrative,
,PolicyMarkerNarrative_Text,,PolicyMarkerNarrative_Text
,PolicyMarkerNarrative_Lang,,PolicyMarkerNarrative_Lang
,CollaborationType,CollaborationType,
,CollaborationType_Code,,CollaborationType_Code
,DefaultFlowType,DefaultFlowType,
,DefaultFlowType_Code,,DefaultFlowType_Code
,DefaultFinanceType,DefaultFinanceType,
,DefaultFinanceType_Code,,DefaultFinanceType_Code
,DefaultAidType,DefaultAidType,
,DefaultAidType_Code,,DefaultAidType_Code
,DefaultAidType_Vocabulary,,DefaultAidType_Vocabulary
,DefaultTiedStatus,DefaultTiedStatus,
,DefaultTiedStatus_Code,,DefaultTiedStatus_Code
,Budget,Budget,
,Budget_Type,,Budget_Type
,Budget_Status,,Budget_Status
,BudgetPeriodStart,BudgetPeriodStart,
,BudgetPeriodStart_IsoDate,,BudgetPeriodStart_IsoDate
,BudgetPeriodEnd,BudgetPeriodEnd,
,BudgetPeriodEnd_IsoDate,,BudgetPeriodEnd_IsoDate
,BudgetValue,BudgetValue,
,BudgetValue_Currency,,BudgetValue_Currency
,BudgetValue_ValueDate,,BudgetValue_ValueDate
,BudgetValue_Text,,BudgetValue_Text
,PlannedDisbursement,PlannedDisbursement,
,PlannedDisbursement_Type,,PlannedDisbursement_Type
,PlannedDisbursementPeriodStart,PlannedDisbursementPeriodStart,
,PlannedDisbursementPeriodStart_IsoDate,,PlannedDisbursementPeriodStart_IsoDate
,PlannedDisbursementPeriodEnd,PlannedDisbursementPeriodEnd,
,PlannedDisbursementPeriodEnd_IsoDate,,PlannedDisbursementPeriodEnd_IsoDate
,PlannedDisbursementValue,PlannedDisbursementValue,
,PlannedDisbursementValue_Currency,,PlannedDisbursementValue_Currency
,PlannedDisbursementValue_ValueDate,,PlannedDisbursementValue_ValueDate
,PlannedDisbursementValue_Text,,PlannedDisbursementValue_Text
,PlannedDisbursementProviderOrg,PlannedDisbursementProviderOrg,
,PlannedDisbursementProviderOrg_Ref,,PlannedDisbursementProviderOrg_Ref
